codigo;ferramenta;data
170801;MARTELETE 5 KG - WELINGTON;2024-01-29
171278;MARTELETE 5 KG (LOCADO);2024-01-29
170877;MARTELETE 5KG;2024-01-29
170481;MARTELETE 5KG;2024-01-29
171257;MARTELO DE BORRACHA- 80 MM;2024-01-29
171264;MARTELO DE BORRACHA- 80 MM;2024-01-29
171265;MARTELO DE BORRACHA- 80 MM;2024-01-29
171268;MARTELO DE BORRACHA- 80 MM;2024-01-29
171267;MARTELO DE BORRACHA- 80 MM;2024-01-29
171273;MARTELO UNHA - 27 MM - CABO DE FIBRA;2024-01-29
171181;MARTELO UNHA - 27 MM - CABO DE FIBRA;2024-01-29
171179;MARTELO UNHA - 27 MM - CABO DE FIBRA;2024-01-29
171271;MARTELO UNHA - 27 MM - CABO DE FIBRA;2024-01-29
171121;MARTELO UNHA - 27 MM - CABO DE FIBRA;2024-01-29
171270;MARTELO UNHA - 27 MM - CABO DE FIBRA;2024-01-29
171182;MARTELO UNHA - 27 MM - CABO DE FIBRA;2024-01-29
171020;MEDIDOR DE PH;2024-01-29
174126;MISTURADOR;2024-01-29
171039;MISTURADOR;2024-01-29
170857;MISTURADOR;2024-01-29
171238;MISTURADOR ;2024-01-29
171351;MULTÍMETRO;2024-01-29
174816;NÍVEL A LASER ;2024-01-29
171381;NÍVEL A LASER X Y;2024-01-29
171331;NÍVEL DE MÃO  ;2024-01-29
171013;NÍVEL DE MÃO STANLEY 60CM;2024-01-29
171209;PÁ;2024-01-29
171236;PÁ;2024-01-29
171237;PÁ;2024-01-29
171221;PARAFUSADEIRA;2024-01-29
171116;PARAFUSADEIRA;2024-01-29
151107;PARAFUSADEIRA;2024-01-29
170249;PARAFUSADEIRA;2024-01-29
170505;PARAFUSADEIRA C/ BATERIA EMBUTIDA;2024-01-29
170247;PARAFUSADEIRA ELÉTRICA;2024-01-29
171044;PARAFUSADEIRA ELÉTRICA;2024-01-29
174503;PARAFUZADEIRA;2024-01-29
174502;PARAFUZADERA;2024-01-29
171206;PICARETA;2024-01-29
171217;PICARETA;2024-01-29
171208;PICARETA;2024-01-29
171213;PICARETA;2024-01-29
171202;PICARETA;2024-01-29
171199;PICARETA;2024-01-29
171200;PICARETA;2024-01-29
171376;PISTOLA APLICADORA DE PU;2024-01-29
170601;PISTOLA FINCA PINOS;2024-01-29
171395;PISTOLA FINCA PINOS HILTI;2024-01-29
151199;PISTOLA HILTI;2024-01-29
151165;PUNHETEIRA;2024-01-29
171313;RÉGUA DE ALUMÍNIO 3 METROS;2024-01-29
171332;RÉGUA DE ALUMÍNIO 3 METROS;2024-01-29
171321;RÉGUA DE ALUMÍNIO 3 METROS;2024-01-29
